name,category
Work meeting with team members,0
Lunch break,1
Exercise class at the gym,1
Grocery shopping,2
Dinner with friends,2
Doctor's appointment,1
Reading a book for personal development,3
Visiting a museum or art exhibit,3
Movie night with family,2
Volunteering at a local charity event,4
Attending a networking event,0
Giving a presentation at a conference,0
Meeting with a client,0
Attending a job interview,0
Celebrating a birthday,1
Planning a vacation,1
Taking a self-care day,1
Going to the beach,2
Attending a concert,2
Throwing a BBQ,2
Hosting a game night,2
Attending a yoga class,3
Meditation session,3
Cooking a healthy meal,3
Taking a walk in nature,3
Attending a book club meeting,3
Going to a comedy show,2
Visiting a friend in a different city,2
Attending a live music performance,2
Participating in a community clean-up,4
Donating to a charity,4
Attending a fundraising event,4
Attending a political rally,4
Going to a farmers market,2
Participating in a beach clean-up,4
Going to a sporting event,2
Taking a dance class,1
Attending a wine tasting event,2
Going to a craft fair,3
Taking a photography class,3
Attending a cooking class,3
Going on a hiking trip,3
Visiting a national park,3
Attending a lecture or seminar,0
Going to a theater performance,2
